threshold,accuracy
4.800207,0.510197
4.815255,0.510197
4.830303,0.510197
4.845350,0.510197
4.860398,0.510197
4.875446,0.510197
4.890493,0.510197
4.905541,0.510197
4.920589,0.509845
4.935636,0.509845
4.950684,0.509845
4.965732,0.509845
4.980779,0.509845
4.995827,0.509845
5.010875,0.509845
5.025922,0.509845
5.040970,0.509845
5.056018,0.509845
5.071065,0.509494
5.086113,0.509494
5.101161,0.509494
5.116208,0.509494
5.131256,0.509494
5.146304,0.509494
5.161352,0.509494
5.176399,0.509494
5.191447,0.509494
5.206495,0.509494
5.221542,0.509494
5.236590,0.509494
5.251638,0.509494
5.266685,0.509494
5.281733,0.509494
5.296781,0.509494
5.311828,0.509494
5.326876,0.509494
5.341924,0.509494
5.356971,0.509494
5.372019,0.509494
5.387067,0.509494
5.402114,0.509494
5.417162,0.509494
5.432210,0.509494
5.447257,0.509494
5.462305,0.509494
5.477353,0.509142
5.492400,0.509142
5.507448,0.509142
5.522496,0.509142
5.537543,0.509142
5.552591,0.509142
5.567639,0.509142
5.582686,0.509142
5.597734,0.509142
5.612782,0.509142
5.627829,0.509142
5.642877,0.509142
5.657925,0.509142
5.672972,0.509142
5.688020,0.509142
5.703068,0.509142
5.718115,0.509142
5.733163,0.509142
5.748211,0.509142
5.763258,0.509142
5.778306,0.509142
5.793354,0.509142
5.808401,0.509142
5.823449,0.508790
5.838497,0.508790
5.853544,0.508790
5.868592,0.508790
5.883640,0.508790
5.898687,0.508790
5.913735,0.508790
5.928783,0.508790
5.943830,0.508790
5.958878,0.508439
5.973926,0.508439
5.988973,0.508439
6.004021,0.508439
6.019069,0.508439
6.034116,0.508439
6.049164,0.508439
6.064212,0.508439
6.079259,0.508439
6.094307,0.508439
6.109355,0.508439
6.124403,0.508439
6.139450,0.508439
6.154498,0.508439
6.169546,0.508439
6.184593,0.508439
6.199641,0.508439
6.214689,0.508439
6.229736,0.508439
6.244784,0.508439
6.259832,0.508439
6.274879,0.508439
6.289927,0.508439
6.304975,0.508439
6.320022,0.508087
6.335070,0.508087
6.350118,0.508087
6.365165,0.508087
6.380213,0.508087
6.395261,0.508087
6.410308,0.508087
6.425356,0.508087
6.440404,0.508087
6.455451,0.508087
6.470499,0.508087
6.485547,0.508087
6.500594,0.508087
6.515642,0.508087
6.530690,0.508087
6.545737,0.507736
6.560785,0.507736
6.575833,0.507736
6.590880,0.507736
6.605928,0.507736
6.620976,0.507736
6.636023,0.507736
6.651071,0.507384
6.666119,0.507384
6.681166,0.507384
6.696214,0.507384
6.711262,0.507384
6.726309,0.507384
6.741357,0.507384
6.756405,0.507384
6.771452,0.507384
6.786500,0.507384
6.801548,0.507384
6.816595,0.507384
6.831643,0.507384
6.846691,0.507384
6.861738,0.507384
6.876786,0.507384
6.891834,0.507384
6.906881,0.507032
6.921929,0.507032
6.936977,0.507032
6.952024,0.506681
6.967072,0.506681
6.982120,0.506681
6.997167,0.506681
7.012215,0.506329
7.027263,0.505977
7.042310,0.505977
7.057358,0.505977
7.072406,0.505977
7.087454,0.505977
7.102501,0.505977
7.117549,0.505977
7.132597,0.505977
7.147644,0.505977
7.162692,0.505977
7.177740,0.505626
7.192787,0.505626
7.207835,0.505626
7.222883,0.505626
7.237930,0.505626
7.252978,0.505626
7.268026,0.505626
7.283073,0.505626
7.298121,0.505626
7.313169,0.505626
7.328216,0.505626
7.343264,0.505626
7.358312,0.505626
7.373359,0.505626
7.388407,0.505626
7.403455,0.505626
7.418502,0.505626
7.433550,0.505626
7.448598,0.505626
7.463645,0.505626
7.478693,0.505626
7.493741,0.505626
7.508788,0.505626
7.523836,0.505626
7.538884,0.505626
7.553931,0.505626
7.568979,0.505626
7.584027,0.505626
7.599074,0.505626
7.614122,0.505626
7.629170,0.505626
7.644217,0.505626
7.659265,0.505626
7.674313,0.505626
7.689360,0.505626
7.704408,0.505626
7.719456,0.505626
7.734503,0.505626
7.749551,0.505626
7.764599,0.505626
7.779646,0.505626
7.794694,0.505626
7.809742,0.505626
7.824789,0.505626
7.839837,0.505626
7.854885,0.505626
7.869932,0.505626
7.884980,0.505626
7.900028,0.505626
7.915075,0.505626
7.930123,0.505626
7.945171,0.505626
7.960218,0.505626
7.975266,0.505626
7.990314,0.505626
8.005361,0.505626
8.020409,0.505626
8.035457,0.505626
8.050505,0.505626
8.065552,0.505626
8.080600,0.505626
8.095648,0.505626
8.110695,0.505626
8.125743,0.505626
8.140791,0.505626
8.155838,0.505626
8.170886,0.505626
8.185934,0.505274
8.200981,0.505274
8.216029,0.505274
8.231077,0.505274
8.246124,0.505274
8.261172,0.504923
8.276220,0.504923
8.291267,0.504923
8.306315,0.504923
8.321363,0.504923
8.336410,0.504923
8.351458,0.504923
8.366506,0.504923
8.381553,0.504923
8.396601,0.504923
8.411649,0.504923
8.426696,0.504923
8.441744,0.504923
8.456792,0.504923
8.471839,0.504923
8.486887,0.504923
8.501935,0.504923
8.516982,0.504923
8.532030,0.504923
8.547078,0.504923
8.562125,0.504923
8.577173,0.504923
8.592221,0.504923
8.607268,0.504923
8.622316,0.504923
8.637364,0.504923
8.652411,0.504923
8.667459,0.504923
8.682507,0.504571
8.697554,0.504571
8.712602,0.504571
8.727650,0.504571
8.742697,0.504571
8.757745,0.504571
8.772793,0.504571
8.787840,0.504571
8.802888,0.504571
8.817936,0.504571
8.832983,0.504571
8.848031,0.504571
8.863079,0.504571
8.878126,0.504571
8.893174,0.504571
8.908222,0.504571
8.923269,0.504571
8.938317,0.504571
8.953365,0.504571
8.968412,0.504571
8.983460,0.504571
8.998508,0.504571
9.013556,0.504571
9.028603,0.504571
9.043651,0.504571
