threshold,accuracy
0.319353,0.517581
0.320354,0.517581
0.321355,0.517581
0.322355,0.517581
0.323356,0.517581
0.324357,0.517581
0.325358,0.517581
0.326358,0.517581
0.327359,0.517581
0.328360,0.517932
0.329360,0.517932
0.330361,0.517932
0.331362,0.517932
0.332362,0.517932
0.333363,0.517581
0.334364,0.517581
0.335365,0.517581
0.336365,0.517581
0.337366,0.517581
0.338367,0.517581
0.339367,0.517581
0.340368,0.517581
0.341369,0.517581
0.342369,0.517581
0.343370,0.517581
0.344371,0.517581
0.345372,0.517581
0.346372,0.517581
0.347373,0.517581
0.348374,0.517932
0.349374,0.517932
0.350375,0.517932
0.351376,0.517932
0.352376,0.517932
0.353377,0.517932
0.354378,0.517932
0.355379,0.517932
0.356379,0.517932
0.357380,0.517932
0.358381,0.517932
0.359381,0.517932
0.360382,0.517932
0.361383,0.517932
0.362384,0.517932
0.363384,0.517932
0.364385,0.517932
0.365386,0.517932
0.366386,0.517932
0.367387,0.517932
0.368388,0.517932
0.369388,0.517932
0.370389,0.517932
0.371390,0.517932
0.372391,0.518284
0.373391,0.518284
0.374392,0.518284
0.375393,0.518284
0.376393,0.518284
0.377394,0.518284
0.378395,0.518284
0.379395,0.518284
0.380396,0.518284
0.381397,0.518284
0.382398,0.518284
0.383398,0.518284
0.384399,0.518284
0.385400,0.518284
0.386400,0.518284
0.387401,0.518284
0.388402,0.518284
0.389402,0.518284
0.390403,0.518284
0.391404,0.518284
0.392405,0.518284
0.393405,0.518284
0.394406,0.518284
0.395407,0.518284
0.396407,0.518284
0.397408,0.518284
0.398409,0.518284
0.399409,0.518636
0.400410,0.518636
0.401411,0.518636
0.402412,0.518636
0.403412,0.518636
0.404413,0.518636
0.405414,0.518636
0.406414,0.518636
0.407415,0.518636
0.408416,0.518636
0.409417,0.518636
0.410417,0.518636
0.411418,0.518636
0.412419,0.518636
0.413419,0.518636
0.414420,0.518636
0.415421,0.518636
0.416421,0.518636
0.417422,0.518987
0.418423,0.518987
0.419424,0.518987
0.420424,0.518987
0.421425,0.518987
0.422426,0.518987
0.423426,0.518987
0.424427,0.518987
0.425428,0.518987
0.426428,0.518987
0.427429,0.518987
0.428430,0.518987
0.429431,0.518987
0.430431,0.518987
0.431432,0.518987
0.432433,0.518987
0.433433,0.518987
0.434434,0.518987
0.435435,0.518987
0.436435,0.518987
0.437436,0.518987
0.438437,0.518987
